民宿登記證編號,中文名稱,地址,電話或手機,合計總房間數
2,阿拉斯民宿,851高雄市茂林區多納里2鄰32號,07-6801277,4
7,草地人民宿,844高雄市六龜區新發里新開路33-1號,07-6791992,2
8,亞力民宿,848高雄市桃源區建山巷86-2號,07-6882042,4
11,人字山莊,843高雄市美濃區民權路66-5號,07-6822159,3
12,道時尚悠然山莊,844高雄市六龜區新發里和平路130-5號,07-6791003,5
13,梅蘭山莊,848高雄市桃源區梅蘭里南橫公路五段222號,07-6866039,5
14,中正湖民宿,843高雄市美濃區福美路30號,07-6812736,5
15,湖美茵/快樂/天然,843高雄市美濃區中山路2段782巷52號,07-6817828,3
17,呼頌民宿渡假村,849高雄市那瑪夏區平和巷210號,0987-334248,4
22,月光山林,846高雄市杉林區桐竹路209號,07-6772586,5
24,梅礦民宿,844高雄市六龜區寶來里竹林路65-31號,07-6883330,4
25,松柏林民宿,844高雄市六龜區興龍里3鄰土壟37-8號,07-6891010,5
26,得恩谷の民宿,851高雄市茂林區茂林里6鄰138號,07-6801540,5
27,百果園民宿,843高雄市美濃區復興街1段58巷5號,0988-863227,4
28,木森林香草民宿,844高雄市六龜區興龍里舊潭21-1號,"07-6895866,6895021",1
29,扇平山莊(民宿),844高雄市六龜區中興里尾庄45-3號,07-6895882,5
33,峰園民宿,843高雄市美濃區雙峰街8-20號,07-6820839,5
35,達妮芙民宿,848高雄市桃源區拉芙蘭路20號,07-6866112,4
36,林家民宿,843高雄市美濃區民族路53-7號,07-6820658,3
37,美濃雲山居民宿,843高雄市美濃區龍山街56-1號,07-6833808,5
40,旗山民宿,842高雄市旗山區三協里楊厝巷11-1號,0918-183715,3
41,山水炎民宿,844高雄市六龜區中興里尾庄55之2號,07-6895257,5
42,日景園,844高雄市六龜區文武里光明巷37-1號,07-6891317,5
43,旗山三合院民宿,842高雄市旗山區廣福里中興街6號,07-6614318,3
44,發拉斯民宿,849高雄市那瑪夏區民生里大光巷209號,07-6701538,3
45,美濃湖民宿,843高雄市美濃區福美路28號,07-6812736,5
47,菸城民宿,843高雄市美濃區中華路7巷17號,07-6851110,2
48,妞妞與夢卡溫泉民宿,844高雄市六龜區寶來里中正路16號,07-6881725,5
49,雅砌民宿,844高雄市六龜區荖濃里南橫路132號(聯絡地址：三民區市中一路384巷89號),07-2821787,2
50,藤枝民宿山莊,848高雄市桃源區寶山里寶山巷146號,07-6895116,5
52,布農星宿民宿,848高雄市桃源區寶山里寶山巷19-8號,07-7352259,5
53,美濃情休閒觀光民宿,843高雄市美濃區祿興里上竹圍14號,07-6813351,3
54,巴尼.蓋休閒農莊民宿,849高雄市那瑪夏區瑪雅里平和巷202號,07-6701926,4
57,梅山口民宿,848高雄市桃源區梅山里3鄰梅山巷71號,07-6866117,5
61,美綠民宿,843高雄市美濃區獅山里竹門14-2號,07-6851111,5
62,旗山麗景民宿,842高雄市旗山區旗屏路600號,07-6612232,3
63,老頭民宿,842高雄市旗山區三協里花旗二路11巷6號,0928-162096,3
64,大樹南瓜屋-義大別莊,840高雄市大樹區三和里學城路一段8巷86號,07-7515754,4
65,寧妮谷民宿,849高雄市那瑪夏區達卡努瓦里3鄰秀嶺巷183號,07-6701087,5
67,一家人本舖,848高雄市桃源區寶山里7鄰寶山巷88之6號,07-6892007,5
68,竹亮山莊,845高雄市內門區竹戈寮8之3號,07-6673963,3
69,明山莊,840高雄市大樹區三和里三和路120-1號,07-6563891,5
72,田莊民宿,846高雄市杉林區杉美路一段365號,07-6771703,4
73,天闊綠大地,844高雄市六龜區新發里新開62-10號,07-6791155,5
74,春綠民宿,843高雄市美濃區中壇里五福街95號,07-6831111,5
75,桂林民宿,843高雄市美濃區廣林里16鄰朝元159-6號,07-6810172,5
77,吉梅雅舍民宿,822高雄市阿蓮區復安里復安32-7號,07-3867214,1
79,美濃能量莊園,843高雄市美濃區清水里南中街3-3號,07-6830813,5
80,川雅居,842高雄市旗山區圓富里9鄰富興路23巷3號,0919-779815,5
81,恬瑩居,844高雄市六龜區荖濃里19鄰裕濃路81巷38號,07-6882061,5
84,登雲Villa,846高雄市杉林區清水路朝雲巷20號,07-6772958,5
85,藏青谷渡假莊園,844高雄市六龜區新發里和平路130-72號,07-6791000,2
86,蘑菇屋民宿,844高雄市六龜區大津1-2號,07-7323856,1
87,恬美農場,845高雄市內門區龍山30號,07-6601488,5
88,濱線,804高雄市鼓山區麗雄街66號,07-5331242,5
89,哈瑪之星,804高雄市鼓山區長安街2號,07-5336066,5
90,同居,800高雄市新興區文橫一路5巷28號,07-2410321,5
91,阡陌一舍UNS,803高雄市鹽埕區堀江街23-2號,0922-375311,3
92,東豐棧之建業客棧一館,813高雄市左營區建業新村13號,06-2005579,7
93,理歐一一一,803高雄市鹽埕區光榮街71巷3號,0956-787799,5
94,美麗時光,813高雄市左營區建業新村1號,0921-336461,3
95,左眷雅居9號館,813高雄市左營區建業新村9號,0932-817607,3
96,左眷雅居10號館,813高雄市左營區建業新村10號,0956-083323,4
97,留小燈藝術眷村民宿,813高雄市左營區建業新村23號,07-3230457,3
98,丈引小院1館,813高雄市左營區建業新村35號,0908-116579,3
99,丈引小院2館,813高雄市左營區建業新村36號,0937-073670,3
100,眷村戀影,813高雄市左營區建業新村14號,0916-159329,4
101,打狗灣青年旅店,803高雄市鹽埕區大成街33號,0981-530086,4
102,鳳山79背包客,830高雄市鳳山區黃埔新村東一巷79號,0905-198074,4
103,月光寶盒 眷村文化旅宿,830高雄市鳳山區黃埔新村東一巷80號,0915-890673,3
104,底加睏-眷村民宿,830高雄市鳳山區黃埔新村東四巷105號,09-53358883,4
105,思念人之屋 眷村民宿,830高雄市鳳山區黃埔新村東四巷106號,0900-089970,4
106,海軍官邸三號院,813高雄市左營區建業新村3號,0929-969789,3
107,海軍官邸四號院,813高雄市左營區建業新村4號,0929-071789,3
108,71CAFE溫度民宿,807高雄市三民區西安街71號,07-3231997,4
109,J.S 23,811高雄市楠梓區新昌街10巷15弄23號,0985-309531,5
110,香蕉與黑膠三合院,843高雄市美濃區興隆一街112巷34號,07-6819882,2
111,旺福民宿,813高雄市左營區建業新村50號,07-5812853,2
112,建業六號,813高雄市左營區建業新村6號,0908-567007,2
113,Swing民宿,813高雄市左營區建業新村24號,0928-899334,2
114,美濃田中央民宿,843高雄市美濃區民族路139巷67號,0918-196677,5
115,Do古,803高雄市鹽埕區莒光街173號,0978-088917,1
116,棉花糖民宿,830高雄市鳳山區黃埔新村東二巷83號,07-7193557,4
117,蛋花湯民宿,830高雄市鳳山區黃埔新村東二巷91號,0909-621071,3
118,眷待期休憩所,830高雄市鳳山區黃埔新村東三巷102號,0986-003102,3
119,半閒藝居,830高雄市鳳山區黃埔新村東三巷104號,0910-133423,2
120,優勝美地,846高雄市杉林區茄苳巷170-5號,0932-768960,3
122,依依．良品風格民宿,813高雄市左營區建業新村緯十路54-11號,0917-859586,3
123,綠芙香氛SPA民宿,813高雄市左營區緯十二路2-1號,0915-770068,4
124,軍旅舍．四十一,813高雄市左營區建業新村41號,0958-604142,3
125,軍旅舍．四十二,813高雄市左營區建業新村42號,0958-604142,3
126,小媽寶眷村民宿,813高雄市左營區緯十路54-7號,0980-424526,2
127,老媽寶眷村民宿,813高雄市左營區緯十路54-8號,0980-424526,3
128,上平201民宿,846高雄市杉林區山仙路201號,0966-228386,2
129,阿婆家眷村民宿,813高雄市左營區建業新村54-5號,0939-985041,4
130,小島公寓,800高雄市新興區六合一路148號,07-2388166,5
131,你好哇寓所,803高雄市鹽埕區大公路70巷8號,0932-828922,5
132,銀座聚場,803高雄市鹽埕區五福四路260巷8號,07-5215360,2
133,風車公園民宿,805高雄市旗津區中洲二路246號,0937-333252,2
134,大港小住,800高雄市新興區文橫一路5巷33號,0908-229019,8
135,破豆基地,813高雄市左營區建業新村緯十一路40-2號,09-83607443,3
136,思旅,804高雄市鼓山區臨海一路14之1號,07-8229301,4
137,左營蓮潭郭家百年古厝,813高雄市左營區店仔頂街110巷27號,07-5851555,4
138,小驢舍,803高雄市鹽埕區必忠街47號,0963-227200,5
139,曉白,802高雄市苓雅區永泰路102巷5號,0980-765076,3
140,回家,803高雄市鹽埕區公園二路139之3號,0970-615115,5
141,莉莉的家,825高雄市橋頭區橋頭路81號,0953-227857,5
142,菲力安民宿,849高雄市那瑪夏區瑪雅里平和巷86號,07-6701512 ,12
143,LUMAH民宿2館,849高雄市那瑪夏區南沙魯里2鄰鞍山巷76號,07-6701468,3
144,LUMAH民宿1館,849高雄市那瑪夏區南沙魯里2鄰鞍山巷74號,07-6701468,3
145,圓山圓庭園民宿,843高雄市美濃區圓山街16-8號,07-6819223,5
146,巢鴨青年館,807高雄市三民區建國三路46巷19-3號,0988-222151,5
147,迴埕,803高雄市鹽埕區鹽埕街29號,0911-187397,5
148,興達港民宿,852高雄市茄萣區健康路318號,0919-119615,4
149,阿爾兔兔,800高雄市新興區南台路43巷1弄6號,0988-830610,5
150,隱君子的撒野,820高雄市岡山區菜寮路2-26號,0933-346863,3
151,旗津海民宿,805高雄市旗津區廟前路100號,0903-770566,5
152,新美濃花園民宿,843高雄市美濃區民生路53號,07-6812777,5
153,望峰息心民宿,843高雄市美濃區雙峰街8之18號,07-6813722,5
154,好日子民宿,800高雄市新興區南台路91-4號,07-3645271,5
155,風起文旅會館,842高雄市旗山區旗南一路30號二樓之1、2、3及三樓之1、2,07-6611058,5
156,棚棚屋,802高雄市苓雅區苓中路28號,0910-888878,4
157,江舟商店,813高雄市左營區建業新村50-3號,0903-003452,1
158,美濃客家庄,843高雄市美濃區中興路二段45號,07-6810800,5
159,六合益萱民宿,800高雄市新興區南台路91-1號,07-3645271,5
160,杉菻行旅,800高雄市新興區新田路172巷25號,07-2817820,4
161,窩囊,830高雄市鳳山區高雄市鳳山區黃埔新村東二巷86號,07-7198576,2
162,Hign Fun旅店,830高雄市鳳山區高雄市鳳山區平等路3號,0931-037393,5
